,age_group,age,idx,household,school,workplace
0,19-64,49,0,273,,manufacturing
1,65-90,68,1,1618,,
2,19-64,25,2,1366,,health
3,6-18,17,3,1448,1,
4,6-18,18,4,1547,1,
5,19-64,58,5,1922,,information
6,0-5,1,6,1652,,
7,19-64,50,7,414,,finance
8,19-64,53,8,1642,,arts
9,19-64,55,9,1847,,finance
10,19-64,27,10,1122,,finance
11,19-64,64,11,1681,,
12,19-64,55,12,347,,health
13,6-18,10,13,1678,0,
14,19-64,31,14,203,,health
15,6-18,6,15,1981,1,
16,19-64,26,16,34,,health
17,6-18,11,17,1896,0,
18,19-64,46,18,486,,finance
19,0-5,1,19,1553,,
20,19-64,24,20,1871,,public
21,6-18,18,21,223,1,
22,19-64,63,22,577,,transportation
23,19-64,26,23,253,,construction
24,6-18,7,24,720,1,
25,6-18,7,25,1841,0,
26,19-64,30,26,350,,waste management
27,6-18,12,27,2027,1,
28,19-64,33,28,240,,health
29,65-90,76,29,72,,
30,19-64,60,30,2067,,health
31,19-64,45,31,161,,health
32,19-64,63,32,644,,
33,19-64,49,33,574,,health
34,19-64,57,34,369,,wholesale
35,65-90,78,35,1083,,
36,65-90,84,36,1048,,
37,6-18,18,37,299,0,
38,19-64,27,38,1542,,waste management
39,19-64,57,39,497,,waste management
40,19-64,55,40,408,,finance
41,19-64,59,41,63,,construction
42,19-64,38,42,1604,,other
43,19-64,38,43,132,,manufacturing
44,6-18,9,44,1614,0,
45,65-90,72,45,1170,,
46,19-64,33,46,271,,construction
47,19-64,40,47,130,,waste management
48,19-64,56,48,1661,,other
49,19-64,52,49,1970,,construction
50,6-18,9,50,32,1,
51,19-64,56,51,1927,,retail
52,65-90,69,52,94,,
53,19-64,64,53,880,,health
54,6-18,8,54,1336,0,
55,65-90,82,55,1910,,
56,19-64,20,56,290,,construction
57,19-64,20,57,347,,health
58,6-18,6,58,532,1,
59,19-64,62,59,112,,retail
60,65-90,79,60,1029,,
61,19-64,22,61,733,,health
62,6-18,15,62,1714,0,
63,65-90,82,63,1943,,
64,19-64,25,64,1150,,waste management
65,19-64,56,65,1858,,health
66,19-64,20,66,847,,transportation
67,19-64,50,67,197,,health
68,65-90,81,68,1663,,
69,19-64,20,69,1288,,arts
70,19-64,26,70,1323,,manufacturing
71,19-64,29,71,1614,,health
72,19-64,49,72,1198,,public
73,6-18,14,73,275,0,
74,19-64,47,74,998,,arts
75,19-64,53,75,6,,retail
76,0-5,2,76,1136,,
77,19-64,37,77,180,,wholesale
78,65-90,70,78,713,,
79,19-64,49,79,8,,arts
80,65-90,69,80,1922,,
81,19-64,56,81,1638,,finance
82,0-5,2,82,1698,,
83,19-64,21,83,53,,other
84,19-64,46,84,821,,retail
85,0-5,2,85,600,,
86,19-64,26,86,1525,,waste management
87,6-18,7,87,1776,1,
88,19-64,52,88,765,,waste management
89,19-64,28,89,1361,,health
90,19-64,19,90,38,,health
91,19-64,27,91,307,,retail
92,19-64,40,92,1272,,construction
93,65-90,68,93,1984,,
94,19-64,54,94,993,,health
95,19-64,39,95,606,,manufacturing
96,19-64,29,96,1051,,finance
97,19-64,44,97,1115,,construction
98,6-18,16,98,389,1,
99,19-64,42,99,818,,manufacturing
100,65-90,79,100,388,,
101,19-64,62,101,1009,,health
102,19-64,29,102,1780,,retail
103,19-64,55,103,1738,,waste management
104,65-90,77,104,1993,,
105,19-64,33,105,687,,health
106,19-64,26,106,512,,health
107,19-64,34,107,1062,,wholesale
108,19-64,35,108,602,,other
109,65-90,86,109,1320,,
110,19-64,48,110,491,,construction
111,6-18,15,111,381,1,
112,19-64,61,112,719,,health
113,19-64,58,113,1584,,health
114,19-64,52,114,769,,manufacturing
115,65-90,86,115,1314,,
116,19-64,34,116,39,0,schools
117,19-64,56,117,530,,arts
118,0-5,1,118,735,,
119,6-18,18,119,527,0,
120,19-64,44,120,41,,health
121,0-5,3,121,1455,,
122,19-64,22,122,500,,information
123,19-64,29,123,1360,,other
124,19-64,59,124,2065,,waste management
125,19-64,35,125,111,,finance
126,6-18,13,126,66,0,
127,19-64,22,127,181,,finance
128,19-64,45,128,381,,waste management
129,19-64,38,129,272,,health
130,65-90,87,130,531,,
131,19-64,59,131,683,,
132,65-90,78,132,1211,,
133,19-64,47,133,108,,information
134,65-90,82,134,1753,,
135,19-64,29,135,1185,,health
136,0-5,1,136,1611,,
137,6-18,7,137,336,1,
138,65-90,66,138,521,,
139,19-64,51,139,1747,,health
140,65-90,69,140,1772,,
141,19-64,22,141,164,,public
142,6-18,13,142,1906,0,
143,0-5,5,143,774,0,
144,6-18,17,144,823,1,
145,19-64,29,145,1089,,waste management
146,19-64,36,146,1012,,waste management
147,19-64,40,147,1242,,finance
148,19-64,19,148,1389,,retail
149,19-64,60,149,2069,,manufacturing
150,6-18,6,150,1847,0,
151,19-64,20,151,1079,,arts
152,19-64,41,152,500,,waste management
153,6-18,17,153,1388,1,
154,19-64,26,154,883,,manufacturing
155,6-18,18,155,154,0,
156,19-64,31,156,552,,retail
157,19-64,58,157,657,,retail
158,19-64,36,158,794,,waste management
159,19-64,43,159,1099,,waste management
160,19-64,40,160,313,,construction
161,19-64,24,161,1228,,manufacturing
162,19-64,46,162,398,,waste management
163,19-64,44,163,1445,,retail
164,19-64,60,164,1461,,health
165,65-90,83,165,1235,,
166,19-64,36,166,478,,
167,19-64,19,167,471,1,schools
168,19-64,48,168,1599,,health
169,6-18,14,169,683,0,
170,19-64,20,170,1536,,
171,19-64,34,171,60,,
172,19-64,34,172,1155,,finance
173,19-64,58,173,1563,,finance
174,19-64,19,174,596,,manufacturing
175,19-64,48,175,548,,retail
176,19-64,19,176,1048,,health
177,19-64,38,177,254,,waste management
178,19-64,23,178,1669,,health
179,19-64,58,179,184,,other
180,6-18,15,180,1899,1,
181,19-64,35,181,1457,,finance
182,19-64,42,182,153,,health
183,19-64,62,183,1443,,construction
184,65-90,78,184,198,,
185,65-90,77,185,1840,,
186,19-64,38,186,401,,health
187,6-18,11,187,276,0,
188,19-64,37,188,738,,health
189,65-90,82,189,1968,,
190,19-64,42,190,60,,other
191,6-18,7,191,278,0,
192,65-90,79,192,2023,,
193,19-64,61,193,103,,finance
194,65-90,68,194,577,,
195,65-90,67,195,370,,
196,19-64,36,196,533,,manufacturing
197,19-64,46,197,1067,,health
198,19-64,35,198,1625,,waste management
199,65-90,73,199,1168,,
200,19-64,38,200,209,,arts
201,6-18,10,201,677,1,
202,19-64,36,202,789,,waste management
203,19-64,60,203,1633,,arts
204,19-64,39,204,1914,,health
205,6-18,12,205,1800,0,
206,19-64,60,206,71,,manufacturing
207,19-64,23,207,1507,,waste management
208,6-18,10,208,913,0,
209,19-64,39,209,703,,waste management
210,19-64,26,210,369,,manufacturing
211,6-18,10,211,2029,1,
212,6-18,10,212,1731,1,
213,19-64,42,213,178,,construction
214,19-64,58,214,1305,,waste management
215,19-64,57,215,765,,construction
216,19-64,54,216,1486,,manufacturing
217,19-64,34,217,681,,retail
218,19-64,62,218,1632,,retail
219,0-5,5,219,1544,1,
220,19-64,19,220,48,,manufacturing
221,19-64,60,221,1728,,construction
222,19-64,41,222,1339,,retail
223,6-18,12,223,1788,1,
224,6-18,13,224,1964,1,
225,19-64,19,225,1886,,other
226,19-64,19,226,1206,,waste management
227,19-64,49,227,365,,health
228,19-64,44,228,973,,waste management
229,19-64,46,229,1268,,waste management
230,19-64,54,230,994,,wholesale
231,6-18,15,231,499,1,
232,19-64,42,232,513,,retail
233,19-64,61,233,465,,health
234,65-90,71,234,1070,,
235,19-64,61,235,4,,health
236,19-64,48,236,261,,health
237,19-64,35,237,1608,,manufacturing
238,65-90,78,238,1991,,
239,19-64,59,239,1833,,manufacturing
240,19-64,47,240,241,,health
241,19-64,37,241,51,,health
242,19-64,32,242,1096,,transportation
243,19-64,34,243,606,,manufacturing
