,age_group,age,idx,household,school,workplace
0,6-10,6,0,18,0,
1,6-10,9,1,56,1,
2,11-45,25,2,41,,volunteer
3,6-10,10,3,34,0,
4,0-5,2,4,94,,
5,6-10,8,5,25,0,
6,11-45,43,6,83,,industry
7,11-45,24,7,10,,volunteer
8,11-45,45,8,35,,industry
9,11-45,15,9,85,1,
10,11-45,23,10,29,,industry
11,11-45,43,11,81,,industry
12,0-5,2,12,89,,
13,6-10,8,13,25,0,
14,0-5,3,14,1,,
15,11-45,33,15,85,,volunteer
16,6-10,8,16,1,1,
17,11-45,31,17,80,,industry
18,11-45,22,18,92,,industry
19,0-5,3,19,11,,
20,6-10,10,20,71,1,
21,6-10,8,21,30,0,
22,11-45,13,22,62,0,
23,11-45,34,23,51,0,schools
24,11-45,30,24,60,,industry
25,11-45,28,25,49,,industry
26,11-45,38,26,84,,industry
27,11-45,15,27,61,1,
28,11-45,31,28,22,,health
29,11-45,38,29,41,,health
30,0-5,4,30,1,,
31,11-45,36,31,79,,industry
32,11-45,40,32,85,0,schools
33,6-10,7,33,93,0,
34,6-10,8,34,4,1,
35,6-10,10,35,38,0,
36,11-45,37,36,66,,industry
37,0-5,3,37,79,,
38,0-5,2,38,98,,
39,11-45,39,39,35,,industry
40,0-5,1,40,72,,
41,6-10,10,41,39,0,
42,6-10,8,42,65,1,
43,11-45,22,43,72,,industry
44,0-5,3,44,63,,
45,11-45,22,45,94,1,schools
46,0-5,0,46,70,,
47,11-45,11,47,23,0,
48,6-10,7,48,47,1,
49,11-45,45,49,88,,industry
50,11-45,31,50,19,,industry
51,0-5,2,51,0,,
52,6-10,6,52,49,1,
53,11-45,16,53,95,0,
54,11-45,14,54,18,0,
55,6-10,6,55,34,1,
56,11-45,29,56,43,,volunteer
57,11-45,11,57,30,1,
58,11-45,28,58,2,,industry
59,11-45,38,59,41,,industry
60,6-10,7,60,35,0,
61,0-5,0,61,57,,
62,6-10,7,62,26,1,
63,6-10,6,63,7,0,
64,11-45,27,64,98,,industry
65,11-45,31,65,28,,industry
66,11-45,15,66,43,1,
67,11-45,30,67,54,,industry
68,6-10,10,68,82,0,
69,6-10,8,69,38,1,
70,11-45,35,70,60,,industry
71,11-45,19,71,57,,industry
72,11-45,34,72,31,,volunteer
73,11-45,12,73,3,0,
74,0-5,1,74,75,,
75,6-10,9,75,77,0,
76,0-5,3,76,18,,
77,11-45,19,77,57,,industry
78,11-45,40,78,59,0,schools
